Subblock;Scene;Tile;T;Z;C;X [micron];Y [micron];Z [micron];Time [s];xstart;ystart;xwidth;ywidth
0;0;0;0;0;0;4261.284;8361.406;683.0;0.0;168;0;1960;1416
1;0;0;0;0;1;4261.284;8361.406;683.0;0.3500199317932129;168;0;1960;1416
2;1;0;0;0;0;13293.666;8372.441;683.934;2.37613582611084;19926;24;1960;1416
3;1;0;0;0;1;13293.666;8372.441;683.934;2.724155902862549;19926;24;1960;1416
4;2;0;0;0;0;22326.052;8383.476;679.075;4.7462708950042725;39684;49;1960;1416
5;2;0;0;0;1;22326.052;8383.476;679.075;5.0942909717559814;39684;49;1960;1416
6;3;0;0;0;0;31358.388;8394.511;673.577;7.132407903671265;59442;73;1960;1416
7;3;0;0;0;1;31358.388;8394.511;673.577;7.4824278354644775;59442;73;1960;1416
8;4;0;0;0;0;40390.804;8405.546;673.577;8.881507873535156;79200;97;1960;1416
9;4;0;0;0;1;40390.804;8405.546;673.577;9.22652792930603;79200;97;1960;1416
10;5;0;0;0;0;49423.155;8416.582;671.218;10.775615930557251;98958;121;1960;1416
11;5;0;0;0;1;49423.155;8416.582;671.218;11.11763596534729;98958;121;1960;1416
12;6;0;0;0;0;58455.528;8427.617;661.242;12.997742891311646;118716;145;1960;1416
13;6;0;0;0;1;58455.528;8427.617;661.242;13.352763891220093;118716;145;1960;1416
14;7;0;0;0;0;67487.892;8438.652;647.1;15.357877969741821;138474;169;1960;1416
15;7;0;0;0;1;67487.892;8438.652;647.1;15.707897901535034;138474;169;1960;1416
16;8;0;0;0;0;76520.273;8449.687;636.039;17.469998836517334;158232;193;1960;1416
17;8;0;0;0;1;76520.273;8449.687;636.039;17.814018964767456;158232;193;1960;1416
18;9;0;0;0;0;85552.644;8460.722;624.415;20.157152891159058;177990;218;1960;1416
19;9;0;0;0;1;85552.644;8460.722;624.415;20.501171827316284;177990;218;1960;1416
20;10;0;0;0;0;94585.017;8471.757;599.864;22.808303833007812;197748;242;1960;1416
21;10;0;0;0;1;94585.017;8471.757;599.864;23.157323837280273;197748;242;1960;1416
22;11;0;0;0;0;103617.38;8482.792;579.445;25.201440811157227;217506;266;1960;1416
23;11;0;0;0;1;103617.38;8482.792;579.445;25.547460794448853;217506;266;1960;1416
24;12;0;0;0;0;103606.372;17493.922;610.713;27.443569898605347;217482;19977;1960;1416
25;12;0;0;0;1;103606.372;17493.922;610.713;27.788589000701904;217482;19977;1960;1416
26;13;0;0;0;0;94574.008;17482.887;631.754;29.506687879562378;197724;19953;1960;1416
27;13;0;0;0;1;94574.008;17482.887;631.754;29.85470700263977;197724;19953;1960;1416
28;14;0;0;0;0;85541.635;17471.851;654.116;32.17683982849121;177966;19929;1960;1416
29;14;0;0;0;1;85541.635;17471.851;654.116;32.52285981178284;177966;19929;1960;1416
30;15;0;0;0;0;76509.263;17460.816;668.425;34.8029899597168;158208;19905;1960;1416
31;15;0;0;0;1;76509.263;17460.816;668.425;35.14700984954834;158208;19905;1960;1416
32;16;0;0;0;0;67476.884;17449.781;680.249;36.886109828948975;138450;19881;1960;1416
33;16;0;0;0;1;67476.884;17449.781;680.249;37.233128786087036;138450;19881;1960;1416
34;17;0;0;0;0;58444.519;17438.746;692.693;39.52425980567932;118692;19857;1960;1416
35;17;0;0;0;1;58444.519;17438.746;692.693;39.87327980995178;118692;19857;1960;1416
36;18;0;0;0;0;49412.146;17427.711;700.999;41.8953959941864;98934;19832;1960;1416
37;18;0;0;0;1;49412.146;17427.711;700.999;42.240415811538696;98934;19832;1960;1416
38;19;0;0;0;0;40379.78;17416.676;705.724;44.24352979660034;79176;19808;1960;1416
39;19;0;0;0;1;40379.78;17416.676;705.724;44.588549852371216;79176;19808;1960;1416
40;20;0;0;0;0;31347.412;17405.641;706.218;46.34865093231201;59418;19784;1960;1416
41;20;0;0;0;1;31347.412;17405.641;706.218;46.69767093658447;59418;19784;1960;1416
42;21;0;0;0;0;22315.044;17394.606;702.412;48.70378589630127;39660;19760;1960;1416
43;21;0;0;0;1;22315.044;17394.606;702.412;49.07880687713623;39660;19760;1960;1416
44;22;0;0;0;0;13282.657;17383.57;705.688;51.389938831329346;19902;19736;1960;1416
45;22;0;0;0;1;13282.657;17383.57;705.688;51.7369589805603;19902;19736;1960;1416
46;23;0;0;0;0;4250.276;17372.535;704.286;53.972086906433105;144;19712;1960;1416
47;23;0;0;0;1;4250.276;17372.535;704.286;54.321106910705566;144;19712;1960;1416
48;24;0;0;0;0;4239.268;26383.665;719.601;55.93519902229309;120;39423;1960;1416
49;24;0;0;0;1;4239.268;26383.665;719.601;56.31522083282471;120;39423;1960;1416
50;25;0;0;0;0;13271.647;26394.7;727.123;58.3733389377594;19878;39447;1960;1416
51;25;0;0;0;1;13271.647;26394.7;727.123;58.717357873916626;19878;39447;1960;1416
52;26;0;0;0;0;22304.036;26405.735;728.197;60.731472969055176;39636;39472;1960;1416
53;26;0;0;0;1;22304.036;26405.735;728.197;61.07549285888672;39636;39472;1960;1416
54;27;0;0;0;0;31336.392;26416.77;726.135;63.1116099357605;59394;39496;1960;1416
55;27;0;0;0;1;31336.392;26416.77;726.135;63.45963001251221;59394;39496;1960;1416
56;28;0;0;0;0;40368.772;26427.805;723.165;65.20072889328003;79152;39520;1960;1416
57;28;0;0;0;1;40368.772;26427.805;723.165;65.54974889755249;79152;39520;1960;1416
58;29;0;0;0;0;49401.136;26438.84;720.432;67.5948657989502;98910;39544;1960;1416
59;29;0;0;0;1;49401.136;26438.84;720.432;67.94388580322266;98910;39544;1960;1416
60;30;0;0;0;0;58433.51;26449.875;715.191;69.95600080490112;118668;39568;1960;1416
61;30;0;0;0;1;58433.51;26449.875;715.191;70.30002093315125;118668;39568;1960;1416
62;31;0;0;0;0;67465.881;26460.91;705.078;73.35319495201111;138426;39592;1960;1416
63;31;0;0;0;1;67465.881;26460.91;705.078;73.70121479034424;138426;39592;1960;1416
64;32;0;0;0;0;76498.26;26471.946;691.365;75.75933289527893;158184;39616;1960;1416
65;32;0;0;0;1;76498.26;26471.946;691.365;76.10735297203064;158184;39616;1960;1416
66;33;0;0;0;0;85530.626;26482.981;676.845;78.15246987342834;177942;39641;1960;1416
67;33;0;0;0;1;85530.626;26482.981;676.845;78.49748992919922;177942;39641;1960;1416
68;34;0;0;0;0;94562.999;26494.016;659.022;80.53260588645935;197700;39665;1960;1416
69;34;0;0;0;1;94562.999;26494.016;659.022;80.88062596321106;197700;39665;1960;1416
70;35;0;0;0;0;103595.364;26505.051;635.182;83.21675992012024;217458;39689;1960;1416
71;35;0;0;0;1;103595.364;26505.051;635.182;83.55977892875671;217458;39689;1960;1416
72;36;0;0;0;0;103584.361;35516.18;651.013;85.19987297058105;217434;59400;1960;1416
73;36;0;0;0;1;103584.361;35516.18;651.013;85.54489278793335;217434;59400;1960;1416
74;37;0;0;0;0;94551.99;35505.145;675.391;87.84702396392822;197676;59376;1960;1416
75;37;0;0;0;1;94551.99;35505.145;675.391;88.1940438747406;197676;59376;1960;1416
76;38;0;0;0;0;85519.616;35494.11;693.097;90.49217581748962;177918;59352;1960;1416
77;38;0;0;0;1;85519.616;35494.11;693.097;90.8351948261261;177918;59352;1960;1416
78;39;0;0;0;0;76487.252;35483.075;707.833;93.15132784843445;158160;59328;1960;1416
79;39;0;0;0;1;76487.252;35483.075;707.833;93.50534796714783;158160;59328;1960;1416
80;40;0;0;0;0;67454.872;35472.04;720.285;95.76847696304321;138402;59304;1960;1416
81;40;0;0;0;1;67454.872;35472.04;720.285;96.11249685287476;138402;59304;1960;1416
82;41;0;0;0;0;58422.501;35461.005;731.281;98.39962792396545;118644;59280;1960;1416
83;41;0;0;0;1;58422.501;35461.005;731.281;98.74664783477783;118644;59280;1960;1416
84;42;0;0;0;0;49390.127;35449.969;735.222;100.76176285743713;98886;59255;1960;1416
85;42;0;0;0;1;49390.127;35449.969;735.222;101.1107828617096;98886;59255;1960;1416
86;43;0;0;0;0;40357.748;35438.934;732.079;103.11589789390564;79128;59231;1960;1416
87;43;0;0;0;1;40357.748;35438.934;732.079;103.4609169960022;79128;59231;1960;1416
88;44;0;0;0;0;31325.364;35427.899;738.504;105.69504499435425;59370;59207;1960;1416
